Starname,ra,dec,pm_ra,pm_dec,vmag,mv,bvcolor,prlax,url_slug,epoch,id,program_id,star_id,id,name,abstract
15335,2.4801374,29.93176,-0.06537,0.07252,5.91,3.468080103,0.549,0.03248,15335,2000,4979771,12,15335,12,Legacy,California Legacy Survey Sample
153458,17.000461,-7.5316572,0.09718,-0.01938,7.99,4.786330823,0.610001,0.02287,153458,2000,4979772,12,153458,12,Legacy,California Legacy Survey Sample
153525,16.96173,47.362144,-0.13909,0.26249,7.88,6.66432112,1.04,0.05713,153525,2000,4979773,12,153525,12,Legacy,California Legacy Survey Sample
153557,16.964772,47.366688,-0.1469,0.27221,7.83,6.559665792,0.98,0.05571,153557,2000,4979774,12,153557,12,Legacy,California Legacy Survey Sample
154088,17.074401,-28.582678,0.08325,-0.26914,6.59,5.304018292,0.83,0.05531,154088,2000,4979775,12,154088,12,Legacy,California Legacy Survey Sample
154345,17.043446,47.081881,0.12355,0.85471,6.74,5.456372618,0.76,0.05537,154345,2000,4979776,12,154345,12,Legacy,California Legacy Survey Sample
154363,17.084276,-5.0665075,-0.91681,-1.13784,7.73,7.571947709,1.16,0.09298,154363,2000,4979777,12,154363,12,Legacy,California Legacy Survey Sample
155712,17.210451,18.351193,0.10178,-0.11755,7.95,6.387198873,0.941,0.04869,155712,2000,4979779,12,155712,12,Legacy,California Legacy Survey Sample
156026,17.270379,-26.546147,-0.47972,-1.12337,6.34,7.460851758,1.16,0.16756,156026,2000,4979780,12,156026,12,Legacy,California Legacy Survey Sample
156279,17.206445,63.352094,-0.002,0.16096,8.07,5.326629042,0.801,0.02827,156279,2000,4979781,12,156279,12,Legacy,California Legacy Survey Sample
156365,17.301982,-24.073022,0.09701,-0.07375,6.591,3.222679305,0.643,0.0212,156365,2000,4979783,12,156365,12,Legacy,California Legacy Survey Sample
156668,17.29458,29.227226,-0.07225,0.21639,8.43,6.524422425,1.015,0.04158,156668,2000,4979784,12,156668,12,Legacy,California Legacy Survey Sample
156826,17.333209,-5.9175086,0.04542,-0.19358,6.32,2.683847933,0.85,0.01874,156826,2000,4979785,12,156826,12,Legacy,California Legacy Survey Sample
156985,17.29734,52.447114,0.01727,-0.19516,7.95,6.61076209,1.02,0.05397,156985,2000,4979787,12,156985,12,Legacy,California Legacy Survey Sample
157172,17.376268,-19.616181,0.0021,-0.13852,7.86,5.236176113,0.76,0.02987,157172,2000,4979788,12,157172,12,Legacy,California Legacy Survey Sample
157214,17.344324,32.467743,0.13541,-1.04065,5.4,4.609299049,0.61,0.06948,157214,2000,4979789,12,157214,12,Legacy,California Legacy Survey Sample
157338,17.402429,-34.798448,-5.00E-05,-0.18299,6.921,4.339649495,0.544,0.03046,157338,2000,4979790,12,157338,12,Legacy,California Legacy Survey Sample
157347,17.380913,-2.3881758,0.04994,-0.10754,6.293,4.847393088,0.65,0.05139,157347,2000,4979791,12,157347,12,Legacy,California Legacy Survey Sample
157881,17.429231,2.1114222,-0.5805,-1.18488,7.54,8.102019464,1.36,0.12954,157881,2000,4979792,12,157881,12,Legacy,California Legacy Survey Sample
158633,17.416694,67.306705,-0.53103,0.00362,6.43,5.893950152,0.77,0.078125,158633,2000,4979793,12,158633,12,Legacy,California Legacy Survey Sample
159062,17.504563,47.402203,0.17431,0.07682,7.22,5.474935472,0.737,0.04477,159062,2000,4979794,12,159062,12,Legacy,California Legacy Survey Sample
