,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2022-08-28,2022-08-28,2459819.747414453,2459819.7289548684,2459819.7107205084,2459820.118292962,2459820.136753781,2459820.1549901725
2022-08-29,2022-08-29,2459820.746753138,2459820.7283287775,2459820.7101252205,2459821.11854164,2459821.1369659933,2459821.1551724835
2022-08-30,2022-08-30,2459821.746087846,2459821.7277001166,2459821.709524613,2459822.1187857646,2459822.1371744126,2459822.1553517664
2022-08-31,2022-08-31,2459822.745418878,2459822.7270676205,2459822.708918943,2459823.1190253473,2459823.1373790735,2459823.1555280746
2022-09-01,2022-09-01,2459823.74474654,2459823.726430969,2459823.708308475,2459824.119260412,2459824.1375800204,2459824.155701471
2022-09-02,2022-09-02,2459824.744071146,2459824.725790451,2459824.707694504,2459825.119490998,2459825.1377765886,2459825.1558720306
2022-09-03,2022-09-03,2459825.7433930165,2459825.7251463663,2459825.7070769407,2459826.1197171584,2459826.137969622,2459826.1560398447
2022-09-04,2022-09-04,2459826.742712484,2459826.724499024,2459826.706455331,2459827.119938967,2459827.138159224,2459827.156205017
2022-09-05,2022-09-05,2459827.7420298895,2459827.7238487448,2459827.705829976,2459828.1201565145,2459828.138345502,2459828.156367672
2022-09-06,2022-09-06,2459828.7413467383,2459828.7231958616,2459828.7052011923,2459829.1203699154,2459829.1385285836,2459829.1565279523
2022-09-07,2022-09-07,2459829.7406639615,2459829.722540716,2459829.704569305,2459830.120579307,2459830.13870862,2459830.1566860205
2022-09-08,2022-09-08,2459830.739980056,2459830.721883661,2459830.7039346504,2459831.120784847,2459831.138885779,2459831.1568420595
2022-09-09,2022-09-09,2459831.7392953904,2459831.721225767,2459831.70329757,2459832.1209867126,2459832.139060248,2459832.156996267
2022-09-10,2022-09-10,2459832.7386103375,2459832.720567751,2459832.702658409,2459833.121185094,2459833.1392322276,2459833.1571488543
2022-09-11,2022-09-11,2459833.737925267,2459833.7199087725,2459833.7020175126,2459834.1213801885,2459834.139401921,2459834.1573000345
2022-09-12,2022-09-12,2459834.737240544,2459834.7192491842,2459834.7013752237,2459835.1215721928,2459835.1395695335,2459835.1574500212
2022-09-13,2022-09-13,2459835.7365565305,2459835.7185893343,2459835.7007328756,2459836.1217612997,2459836.1397352633,2459836.1575990217
2022-09-14,2022-09-14,2459836.735873581,2459836.7179295663,2459836.700089754,2459837.1219476946,2459837.1398993023,2459837.157747191
